German,English
ich,I
du,you
er,he
sie,she
es,it
wir,we
ihr,you (plural)
sie (plural),they
der,the (masculine singular nominative/accusative)
die,"the (feminine singular nominative/accusative, plural nominative/accusative/genitive)"
das,the (neuter singular nominative/accusative)
ein,a
eine,a
einer,one (masculine/neuter nominative)
einen,a (masculine accusative)
einem,a (masculine/neuter dative)
mein,my
dein,your
sein,his
ihr,her
sein,its
unser,our
euer,your (plural)
ihr (possessive plural),their
kein,no
keine,no
keiner,none (masculine/neuter nominative/accusative)
keinen,no (masculine accusative)
keinem,no (masculine/neuter dative)
und,and
oder,or
aber,but
denn,because
sondern,but rather
weil,because
dass,that
wenn,when
als,as
wie,how
so,so
sehr,very
auch,also
nur,only
noch,still
schon,already
jetzt,now
immer,always
oft,often
manchmal,sometimes
nie,never
ja,yes
nein,no
bitte,please
danke,thank you
hallo,hello
tschüss,bye
auf,on
in,in
an,at
mit,with
nach,to (after a place name)
von,from
zu,to
bei,at
für,for
ohne,without
um,around
über,over
unter,under
vor,in front of
hinter,behind
zwischen,between
neben,next to
durch,through
gegen,against
entlang,along
statt,instead of
trotz,despite
während,during
wegen,because of
außerhalb von,outside of
innerhalb von,inside of
dies,this
diese,this
dieses,this
dieser,this
diesem,this
diesen,these
jener,that
jene,that
jenes,that
solcher,such
solche,such
solches,such
alle,all
alles,everything
alle (plural),all
etwas,something
nichts,nothing
jemand,someone
niemand,no one
man,one
viel,much
wenig,little
mehr,more
weniger,less
genug,enough
etwas,something
einige,some
beide,both
mehrere,several
zahlreich,numerous
erst,first
zweit,second
dritt,third
viert,fourth
fünft,fifth
sechst,sixth
siebt,seventh
acht,eight
neun,nine
zehn,ten
hundert,hundred
tausend,thousand
Million,million
Milliarde,billion
mal,time
Stunde,hour
Tag,day
Woche,week
Monat,month
Jahr,year
Minute,minute
Sekunde,second
gestern,yesterday
heute,today
morgen,tomorrow
übermorgen,the day after tomorrow
vorgestern,the day before yesterday
früh,early
spät,late
bald,soon
dann,then
danach,after that
vorher,before
zuletzt,last
schließlich,finally
eigentlich,actually
nämlich,namely
trotzdem,nevertheless
deshalb,therefore
deswegen,therefore
darum,therefore
also,so
somit,thus
ferner,further
weiterhin,furthermore
außerdem,besides
dagegen,on the other hand
einerseits,on the one hand
andererseits,on the other hand
sowohl,both
als auch,as well as
entweder,either
oder,or
weder,neither
noch,nor
sowohl ... als auch,both ... and
entweder ... oder,either ... or
weder ... noch,neither ... nor
zwar ... aber,although ... but
je ... desto,the ... the
um ... zu,in order to
ohne ... zu,without ... to
statt ... zu,instead of ... to
damit,so that
sodass,so that
falls,if
